,Q,A,label
31, 딸이 사춘기가 오고 말을 안 해서 속상하시군요. 어떻게 하실 생각이세요?,남편과 상의해서 딸과 대화를 더 자주할 수 있는 방법을 찾으려고해.,1
32,사람들 사이에 있으니 더 혼자인 것 같군요. 어떤 점에서 그렇게 느꼈나요?,다들 친구들이랑 대화하면서 밥을 먹는데 나는 아무 말도 없이 먹기만 해서 그렇게 느껴져.,1
33,친한 친구를 배신해서 자책하고 계시는군요. 지금 어떤 기분이 드시나요?,친구에게 돈을 돌려주고 사과해야겠어. 정말 미안하게 생각하고 있거든.,1
34,타인에게 상처를 줬군요. 어떻게 하면 좋을까요?,너무 미안해서 아직 미안하단 말도 못했어. 이미 늦은 걸지도 몰라.,1
35,재정에 도움이 되지 않는 자신을 한심해하고 계시는군요.,맞아. 병원비도 계속 나가는데 가족들에게 미안한 마음을 표현하고 싶어.,1
36,내가 아프다는 것을 남들이 알까 봐 불안해하고 있군요.,때로는 사람들 앞에서 쓰러질까 봐 걱정이야.,1
37,아이들이 어려워해서 속상하신가 봐요?,속상하기보다는 내가 지금까지 키워주고 있는데 부모의 역할이 점점 작아지는 것 같아.,1
38,지방으로 발령이 나서 고민이 되시는군요.,가족들과도 떨어져 살아야 할 것 같아.,1
39,건강이 악화돼서 마음이 아프시군요.,운동 좋아하고 열심히 움직이면 뭐 해. 당뇨병이라는데.,1
40,책임을 다 지고 물러나게 되었다니 많이 힘들겠어요.,그니까 곧 마흔인데 또 어디에 취업을 할 수 있을지 모르겠어서 너무 막막해.,1
41,연애를 못 하신다는 생각이 드셨군요. 어떤 점 때문에 그러신지 여쭤봐도 될까요?,응. 월급도 쥐꼬리만 한데 물가는 오르고 연애해봤자 뭐 하겠어. 이 사회가 참 혐오스러워.,1
42,남편에게 대책이 없다는 말을 들어서 기분이 상하셨겠어요.,그 동안 열심히 일했는데 수고했다는 말은커녕 화를 내서 상처 받았어.,1
43,체력적인 한계를 느끼고 계시는군요.,몇 년 전 체력과 다르니 슬픈 기분이 들어.,1
44,큰 마음먹고 등산 동호회에 가입신청을 했을 텐데 떨어졌다니 많이 실망됐겠어요.,요즘은 하고자 하는 일들이 잘 안되면 자신감이 없어지고 힘이 빠지네.,1
45,돈 때문에 너무 속상하시겠어요.,혼자 살아서 외롭고 고립된 기분을 느끼는데 돈까지 없으니까 슬퍼.,1
46,실망하신 이유를 자세히 말씀해주시겠어요?,사람들이 너무 진실하지 못해.,1
47,회사 부장님이 퇴직후에 혈압으로 쓰러졌군요. 더 자세히 말씀해 주시겠어요?,회사에서 스트레스가 많았는지 퇴직하고 바로 쓰러졌어. 너무 슬퍼.,1
48,취업을 하니 기대와 달리 더 피곤해지기만 해서 실망하셨군요.,돈 버는 기계가 된 기분이야. 그렇다고 통장에 돈이 많지도 않고.,1
49,고독을 달래기 위해 텔레비전을 키셨군요.,외로워서 재미도 없는 텔레비전을 보려니 내 처지가 서글퍼져.,1
50,아드님이 고민을 상담했는데 쉽게 생각하셨나 봐요.,아들이 힘든데도 나한테 더 이상 말하려 하지 않는 걸 보니 예전에 그랬던 게 후회 돼.,1
51,무슨 일인지 제게 말해 줄 수 있을까요?,아내가 매일 술 마시고 늦게 들어와서 속상하고 괴로워.,1
52,어떤 일 때문에 화가 나시는지 구체적으로 말씀해 주실 수 있으신가요?,노후준비를 위한 프로그램이 사회에 잘 준비되어 있지 않은 것 같아.,1
53,어머니께서 안락사를 부탁하신 충격이 크시군요.,어머니께서 더 살 수 있다고 생각했는데 어머니의 생각은 그렇지 않은가 봐.,1
54,엄마에게 거짓말을 하셨군요.,쓰고 나니 엄마에게 죄책감이 느껴져.,1
55,치매증상으로 남편이 항상 곁에 있어줘야 해서 마음이 아프시군요.,나 때문에 친구 만나러 나가지도 못하고 포기하는 것들이 많으니까 괜히 미안해지더라고.,1
56,만성 질환 치료에 돈이 많이 드나보네요.,치료비로 벌서 수천만 원을 빌렸는데 앞으로도 계속 치료비가 필요해서 가족들 볼 면목이 없어.,1
57,우리 연구 주제가 채택되지 않아 실망스러우시군요.,응 왜 선정되지 못했을까? 채택되어 지원이 들어오면 정말 성공적인 연구 성과를 낼 수 있었단 말이야.,1
58,갑자기 고혈압이 되셔서 낙담하셨군요.,평생 계속 약을 먹어야 한다는군. 너무 운동을 안 했었나 봐 이제라도 시작해야지.,1
59,같이 술 마실 사람이 없어 혼자 술집에 가서 외로우시군요.,내 곁엔 같이 술 마실 한 사람이 없구나. 어쩌다 인생이 이렇게 됐을까.,1
60,정말 속상하겠어요. 공부를 늦게 시작한 것 같아 막막한가요?,맞아. 게다가 주변 친구들을 보면 내가 너무 뒤처진 것 같아.,1
61,미래에 대해 생각해보지 않았다면 아마 많이 답답할 거예요.,미래에 대해서 생각해본 적이 없어 아직까지. 목표나 꿈이 보이지 않아.,1
62,외로우시군요. 무슨 일이라도 있으세요?,요즘 남편도 바빠서 늦게 오고 애들도 늦게 오고 그러니 도통 얘기할 시간도 없고 나만 고립된 기분이야.,1
63,아빠와 트러블이 있으시군요.,아빠와의 관계가 개선되지 않다 보니 마음이 괴로워.,1
64,사귀자고 먼저 말 못 해서 부끄러우셨군요.,내가 먼저 얘기했어야 했는데 못 했어.,1
65,실패했다고 생각하시는군요. 무슨 일로 그러시나요?,결혼하지 못할 것 같은 생각에 속상해. 이대로 늙어 죽게 되겠지.,1
66,남편분과 자꾸 부딪히는 일이 무엇일까요?,남편은 자꾸 아이를 낳자고 해. 내가 나를 포기하고 잘 키울 수 있을지도 아직은 자신이 없거든.,1
67,지금 껏 잘 살아온 것 같다고 생각하시는군요.,여태 큰 병 없이 지내 온 거 보면 앞으로도 그렇지 않을까 싶어서.,1
68,결혼 문제로 고민하고 계시는군요. ,아직 어리다고 생각하지만 아무래도 결혼하지 못할 것 같아,1
69,어떤 계획을 세우셨나요?,계획을 세우지 않았어. 단지 그동안 나를 위해 살지 못한 게 서러운 생각이 들어.,1
70,아버지가 때렸던 기억 때문에 두려우시군요.,직장에서 해고당하시고 많이 우울해하셨어.,1
71,그 친구에게 진심을 건네면 용서받을 거예요.,고의가 아니었는데 사과하고 진실을 얘기하면 알아주겠지?,1
72,간호사분을 보고 손자분이 생각나셨군요. 더 자세히 알려주시겠어요?,우리 손녀도 간호사를 하는데 저런 취급을 당할 걸 생각하니 너무 슬퍼.,1
73,학교에서 같이 급식먹을 친구가 없으시군요.,혼자 급식을 먹으려고 하니 맛도 없고 무엇보다 외로워.,1
74,매우 속상하시고 충격적이었겠네요.,그렇지. 그런데 버려진 것 처럼 씁쓸하더라고.,1
75,친구가 많이 없어 힘드시겠어요. 어떻게 하면 해결할 수 있을까요?,내일부터 경로당에 가 봐야지.,1
76,언제부터 그러신 건가요?,모르겠어. 평생 내 몸 전혀 돌보지 않고 주위만 돌보며 산 게 후회스러워.,1
77,일터로 출근하기 괴로우시지요?,우리 회사는 왜 재택근무 실시를 안 하는 걸까. 친구들은 다 하고 있다는 말을 들으니 우울해져.,1
78,주변 분들이 그런 모습을 보이니 많이 당혹스러우셨군요.,도움 필요할 때는 그렇게 세상 살갑게 와서 형님 하던 것들이. 허망하다 허망해.,1
79,정말 마음이 착잡하시겠어요.,자녀들도 있는데 너무 내가 밉고 슬프다.,1
80,어떤 고민이 있으신지 구체적으로 말씀해 주실 수 있으신가요?,살면서 외롭고 누구 하나 거들떠보지도 않는 고립된 삶을 살게 되면 많이 힘들겠지? 그렇지만 바쁜 세상에 누가 나를 위해서 봉사를 해줄까.,1
81,부모님의 이혼 후 많이 우울하시겠어요.,맞아. 같이 살 땐 꽉 차보였는데 지금은 텅 빈 느낌이라 되게 우울해.,1
82,집에서도 대화할 사람이 없어 우울하신 거군요.,다들 자기 일하느라 바빠서 오는 줄도 모르더라고.,1
83,별로라고 생각한 동기가 부장님에게 칭찬을 받아서 기분이 안 좋으시군요.,나보다 실력이 부족한 것 같아서 평소에 은근히 무시했던 동기였거든. 순간 부끄럽더라.,1
84,무엇이 죽고 싶을 만큼 슬프도록 만들었나요?,밤만 되면 죽은 남편이 꿈에 나와. 나도 남편을 따라 가고 싶어.,1
85,어떤 일 때문에 속상하신지 말씀해주시겠어요? ,막상 준비된 게 아무것도 없는 것 같아서 지금까지 뭐 했나 회의감이 들어.,1
86,부끄러운 일이요? 자세히 말해주시겠어요?,내가 너무 아는게 없다보니 말귀도 못알아듣고 사오정같았어.,1
87,친구와 싸워서 마음이 많이 안 좋으시군요. 무슨 일로 싸우게 되셨나요?,사소한 의견 차이였는데 감정싸움으로 번져서 결국 크게 싸우고 말았어.,1
88,직장동료들이 일을 미룬 채 모두 휴가를 가버렸군요. 혼자서 일하시니 속상하시겠어요.,다시는 이런 일을 겪고 싶지 않은데 어떻게 해야 할까 고민 중이야.,1
89,소외당하는 기분이 들어 속상하시군요.,친구들은 내가 자기들에 대한 마음이 식은 줄 아는 것 같아. 속상해.,1
90,부모님이 애인을 반대해 많이 괴로우셨겠어요.,부모님은 내가 동성애자인 것을 받아들이시지 않아. 어떡하면 이해해 주실까?,1
91,결혼이 늦으셨군요.,다른 사람들보단 조금 늦었어. 지금 내 나이에 아이들 다 키워놓고 자기만의 시간을 갖는 친구들이 많아.,1
92,단지 나이가 많다는 이유로 등산 동호회 가입을 거절당하셔서 슬프시겠어요.,세월이 야속하게만 느껴지니 더욱더 슬퍼서 눈물이 나.,1
93,정말 속상하시겠어요. 항상 챙겨주던 사람이 없어서 정말 허전하겠군요.,맞아 정말 허전해. 그 간호사를 만나 고마웠다는 인사라도 전해주고 싶어.,1
94,남편 분께 그런 말을 들어서 상처받았겠어요.,금전적인 문제로 이러니까 더 속상해.,1
95,왜 우울하게 생각하시나요?,이것저것 해주고 싶은데 그렇게 못하니 우울해.,1
96,당신만 두고 모두 출장을 갔다니 정말 속상하시겠어요.,다들 내가 불편한가 봐. 내가 나이가 많아서 그런가.,1
97,공부하느라 외로우시겠어요.,혼자 밥 먹고 혼자 공부하고. 밤마다 괜히 눈물이 나와.,1
98,어떤 일인가요?,면접을 진행했는데 남자보다는 여자를 더 선호한다고 탈락되었어.,1
99,학교에서 무슨 일이 있으셨는지 물어봐도 될까요?,애들이 나를 은근히 따돌리거든. 거절을 계속 겪다 보니까 우울하고 내가 너무 싫어지는 것 같아.,1
100,학교 성적과 진로 때문에 매우 속상하시군요. 어떻게 된 일인지 자세히 말씀해주시겠어요?,학교에서 시험을 봤는데 점수가 잘 안 나왔어. 그래서 내가 원하는 진로와 관련된 학과를 못 갈 거 같아. ,1
101,어떤 문제 때문에 싸우고 헤어졌나요?,친구들끼리 말다툼이 있었는데 제일 친했던 친구가 내 편을 들어 주지 않아서 싸웠어.,1
102,세월 앞에 늙어가는 사용자님을 봐서 슬프시군요.,젊었을 때 미리 관리를 해야 했던 건데 많이 후회되네.,1
103,상사와의 안 좋은 관계 때문에 원하지 않는 곳으로 이동하게 되었군요. 속상하시겠어요.,내가 왜 그랬었는지 후회되기도 하고 상사가 원망스럽기도 해. 너무 속상해서 눈물이 나.,1
104,누나한테 간식을 나눠주기 싫어서 거짓말한 것에 미안한 마음이 드는군요.,누나는 내가 물어볼 때마다 나에게 간식을 나눠줬거든. 근데 나는 거짓말을 했다는 게 죄책감이 들어.,1
105,어떤 일인지 여쭤봐도 괜찮을까요?,나 얼마 전에 생일이었거든. 내가 몇 달 전부터 갖고 싶다고 말한 게 있었는데 완전 다른 물건을 사 오셨어.,1
106,몸이 안 좋으세요? 아프지 마세요.,무릎이 안 좋아서 친구들끼리 다니던 등산도 못 할 것 같아.,1
107,가족들이 슬퍼하는 모습이 더 힘드시겠어요.,맞아 내가 아픈 것보다 가족들이 슬퍼하는 게 더 힘들어.,1
108,무료 예방접종이었는데 약이 없어서 많이 실망하셨겠어요.,안 그래도 독감이 곧 유행한다는데 걱정이야 정말.,1
109,동생이 마음의 문을 닫은 것 같아 속상하셨군요.,그런데 동생은 나와 소통을 할 생각이 아예 없는 것 같아. 나는 동생과 예전처럼 다시 친하게 지내고 싶어.,1
110,눈물이 나신다니 무슨 일인지 여쭤봐도 될까요?,드라마 한 편 봤는데 그렇게 눈물이 나네.,1
111,노후대비가 취약해 은퇴 후가 걱정되시는군요.,몸이 좋지 않은 남편 병원비며 딸 결혼자금을 생각하면 노후 대책이 아예 없는 거나 마찬가지지.,1
112,장애로 인해 걱정이 많으신가 보네요.,그때 그런 실수를 하지 않았더라면 그럭저럭 제대로 살았을 텐데 나 자신이 원망스러워.,1
113,아무도 공감해주지 않을까 봐 말을 못 꺼내보고 계시군요.,응. 평소에도 말도 제대로 못 하게 되다 보니 대화에 끼질 못해서 친구들이랑 있어도 재미가 없어.,1
114,대학 입시로 걱정이 많으시군요. 왜 그렇게 생각하시나요?,성적이 빨리 올라가는 것도 아니고 너무 늦은 것 같아서 의미가 없어. 남들과 비교도 되고.,1
115,몸이 아파서 속상하신 것 같아요.,응 가슴에 멍울이 잡히는 거 같아서 병원에 갔다 왔어. 정밀 검사를 해봐야 알겠지만 수술을 해야 할 수도 있다고 하더라고.,1
116,엄마가 공부 때문에 언니만 편애해서 속상하시군요.,나도 엄마 딸인데. 언니한테만 더 잘해줄 때마다 너무 서운해.,1
117,회사에서 사용자님께 책임을 돌리는 것 같아 답답하신 것 같아요.,너무 지치는데 회사를 나가지 않는 한 해결되지 않는 문제라서 기운 빠져.,1
118,늙은 나이에 병에 걸리면 정신적으로 공황이 오는군요. 사용자님도 그런 적이 있으셨나요?,그렇지. 그럴 때마다 모든 게 다 마비된 기분이야.,1
119,부모님께서 공부하라고 강요하시는 것 같으신가 보군요.,공부를 꼭 해야만 살 수 있을까 나는 공부가 너무 싫어.,1
120,오랜 직장에 배신당한 느낌이 드셨군요.,응. 회사에서 일한 것이 헛수고가 될 것 같아.,1
121,초라한 모습이 비춰져서 기분이 안 좋으셨군요.,어두운 단칸방에 홀로 사는 모습이 어찌나 초라하던지.,1
122,동생이랑 다투다가 자리를 비웠는데 가족들이 사용자님을 찾지 않으시군요.,가족들이 나를 찾지 않으니까 당황스럽고 슬퍼.,1
123,새로 이사 온 이웃이 마음에 안 드는군요. 무슨 일이 있으셨는지 자세히 말씀해주시겠어요? ,요새 다들 코로나 때문에 걱정이잖아. 근데 엘리베이터에서 마스크도 안 쓰고 가래도 아무 데나 뱉고 끔찍해.,1
124,많이 우울했겠어요. 왜 그런 생각이 들었나요?,내가 몸이 건강했더라면 아내가 저렇게 굽신거릴 일이 없었을 거 아니야.,1
125,시험을 앞두고 있어 걱정되시는군요.,동기 중에서 내 직급이 가장 낮아. 나는 항상 왜 이럴까?,1
126,나이로 인해 직장생활이 힘드시군요.,이제 나도 퇴사를 준비해야 하는 시기가 온 걸까?,1
127,상사의 실수 때문에 당황스러우시군요.,매번 팀원들에게 일을 떠넘기기만 하더니 결국 일을 저질렀네.,1
128,남편이 불쌍해서 가슴이 아프군요. 왜 그런지 말씀해 주시겠어요?,평생 다니던 직장을 정년퇴직하고 이제 좀 편안한 노후를 보내려고 했는데 간암 말기라는 청천벽력같은 진단을 받았어.,1
129,아버지의 임종에 못 가서 죄책감을 느끼셨군요.,아빠가 돌아가셨다는 게 아직 믿기지도 않지만 그 자리에 없었다는 게 더 슬퍼.,1
130,남자친구가 많은 것을 안 좋게 생각하는 사람이 있나 봐요. 자세히 얘기해 줄 수 있나요?,남자들과 몰려다닌다고 동네 어르신들이 뭐라 했나 봐. 엄마가 다른 사람들 시선도 좀 생각하래.,1
131,좋은 제안이 들어와서 고민이 되시는군요. 조금 더 자세히 말씀해 주시겠어요?,연봉을 높여서 이직할 수 있는데 일이 어려워서 결국 지금 회사와 큰 차이는 없을 거 같아.,1
132,많이 슬프셨군요. 힘드셨겠어요.,그걸 막아줄 수 있었는데도 난 가만히 있었어. 죄책감에 어제 잠을 못 이뤘어.,1
133,어머니께서 아프셔서 많이 슬프시겠어요.,말기는 아니지만 입원을 통한 꾸준한 치료가 필요해.,1
134,엄마가 한심하게 생각해서 속상했군요.,나는 더 넓은 세상을 돌아다니면서 경험하고 싶은데 엄마는 무조건 돈만 모으라고 해.,1
135,그렇게 되어서 슬프시겠어요.,최소한 삼 년은 넘게 있다 와야 한대.,1
136,어떠한 일인지 구체적으로 말해주실수 있나요?,내가 잘못한 게 아닌데 내가 잘못한 일이 되어버렸어.,1
137,늙어가는 모습에 속이 상하시네요.,젊고 활기찬 모습을 보면 너무 부럽기도 하고 자신감도 떨어져.,1
138,불안해하시는군요. 친구에게 어떻게 하실 계획인가요?,미안하다고 사과해야지. 내가 잘못한 일이니까.,1
139,동료분께서 과로로 쓰러져서 슬프시군요.,마음이 잘 맞아서 친구처럼 지냈던 사람이 쓰러져서 너무 슬퍼.,1
140,늦둥이 유산으로 화가 많이 나시는군요. 아내 분도 슬퍼하셔서 많이 힘드시겠어요.,내가 화가 난다고 해서 바꿀 수 있는 것도 없어. 슬퍼하는 아내 앞에서 내색도 못해.,1
141,주변 지인들이 세상을 떠나서 슬프시군요.,너무 오랫동안 알던 사람의 부고를 갑자기 접하게 되니 착잡해.,1
142,돈 빌린 친구가 연락이 안 되는 상황이신가요? ,중학교 때부터 친구라 믿고 빌려줬는데 일주일째 연락이 안 돼. 돈도 돈이지만 친구한테 배신감 느껴.,1
143,아들이 공부하라는 말을 들은 척도 안 해서 속상하시겠어요.,내가 아들 잘되라고 하는 말인데 말해봐야 짜증만 내고 듣지도 않고 속상해 죽겠어.,1
144,요즘은 쟁쟁해서 더 그럴 거 같아요. 비교가 된다고 느끼실 정도면 많이 스트레스도 받고 속상하시겠어요.,신입들도 굳이 나이 많은 우리들하고도 어울리지 않아서 더 떨어진 사람들 같은 기분이 들어.,1
145,어머니를 요양원에 모셔서 많이 슬프셨겠어요.,오는 길에 많이 울었어. 서럽고 엄마한테 미안하고 내가 원망스러워.,1
146,아 그렇군요 지금 감정이 너무 외로우시군요. 어떻게 극복 하는게 좋을까요?,일단 나혼자 라도 기분좋게 여행이라도 떠나고 싶어.,1
147,친구때문에 상처를 받으셨군요.,여유가 없어서 나이가 있어도 일 해야 하는 내 맘은 신경을 써 주질 않아.,1
148,그런 말을 딸에게 들었다니 정말 기분이 안 좋을 것 같네요.,딸이 그런 말을 하다니 너무 슬퍼. 앞으로 내 치료비를 안 내주면 어떡하지.,1
149,혼자 떨어지게 되었으면 저도 어색할거에요.,이제 친구들과 어울리지 못할까봐 걱정돼.,1
150,친구분 부친상으로 마음이 좋지 않으시군요.,그 아버님 생전에 자주 뵀었거든. 건강하시던 분이 갑작스레 돌아가게 되셔서 다들 몹시 슬퍼하고 있어.,1
151,시험을 망치셨군요. 시험을 망치게 된 이유가 있나요?,공부를 열심히 하지 않았어. 조금만 더 열심히 했으면 잘 볼 수 있었을 텐데. 후회돼.,1
152,매일 사이클에 등산까지 한 운동 매이아였는데 병에걸리니 회의감이 드시는군요. 어떤 병인지 알려줄수있나요?,관절염에 걸렸어. 너무 과하게 한게 문제라는데 진짜 한치 앞도 모르는게 인생이네.,1
153,승진을 기대했는데 기대한 결과가 나오지 않아 실망하셨군요.,이번에는 누구보다 열심히 했다고 생각했는데.,1
154,힘든 고민을 말하지 못해 많이 답답하셨을 것 같아요.,편하게 말하고 싶기는 한데 언제부터인지 말하는 게 조심스러워졌어.,1
155,남편 분이 암에 걸렸다는 사용자님의 말을 듣고 치료비부터 걱정해서 실망하셨군요.,치료비가 중요하다 해도 말 한마디 위로 없이 돈부터 걱정하는 것은 아니지.,1
156,회사에 취직해서 기대를 많이 했는데 실망하셨군요.,내가 회사에 대한 기대가 너무 컸었던 것 같아. 회사는 회사일 뿐일 수 있는데 말이야.,1
157,권고사직을 받은 동료를 보면서 안도감과 미안함을 동시에 느끼셨군요.,그 친구가 평소에 나한테 참 잘 해줬는데 마음이 안쓰러워. 동료의 불행에 안도하는 내가 싫고. ,1
158,자녀분들과 무슨 일이 있으셨나요? 더 자세히 말씀해 주시겠어요?,회사를 그만뒀다는 손주들 용돈 줄 돈도 없네. 너무 속상해.,1
159,결혼을 하려던 사람과 헤어지셔서 상처를 받으셨군요. 어떻게 하면 기분이 나아질 수 있을까요?,새로운 사람을 만나 다시 시작할 거야.,1
160,많이 아프셨겠어요. 지금은 괜찮으세요?,지금은 괜찮아. 하지만 왜 사과를 안했을까?,1
161,지금 다니는 회사에 온 것을 후회하시는군요. 무슨 일이 있었나요?,최근에 담당한 프로젝트를 하면서 야근을 많이 했는데 정작 들어온 급여는 너무 적었어. 힘이 빠지더라고,1
162,자주 깜빡하는 일이 생겨서 슬프시겠어요.,어제 중요한 일이 있었는데 깜빡하고 그냥 지나가 버렸어.,1
163,주변 사람들을 아프게 하면서 사용자님 생명을 유지하고 있는 것 같아서 슬프시겠어요.,마음이 불편하고 어색해져. 주변 사람들이 힘들어 하는 게 눈에 보이고.,1
164,직장 스트레스 때문에 회사에 사표를 내셨군요. ,근데 지금은 너무 후회돼. 당장 생활비도 부족한데 내가 왜 사표를 냈을까? ,1
165,그동안 열심히 일해왔는데 이런 말을 들으니 서운하셨겠군요.,직장을 그만두면 집에서 행복할 줄 알았는데 그렇지도 않네.,1
166,부당한 업무를 맡으셔서 힘드시겠어요.,잘리더라도 당당하게 거부해 볼까?,1
167,같은 편이 되어주던 친구가 변심을 해서 슬펐겠어요.,같은 편이라고 굳게 믿었던 친구가 그럴 거라고 생각하지는 못했어서 머리가 마비가 되었었나 봐.,1
168,많이 우울하시군요. 무슨 일이 있으신가요?,부모님이 또 싸우시고 아빠가 밖으로 나가셨어. 방 안에만 있었는데 정말 너무 우울하고 힘들어.,1
169,따님이 안 챙겨줬다고 하시는 건 너무 서운하게 들릴 것 같네요.,맞아. 나도 가정에 신경 쓰고 싶었는데 그러지 못했던 주변상황들이 너무 많았어.,1
170,나를 미워하는 상사 때문에 억울한 일을 당해 많이 슬프시겠어요.,상사는 나를 이유 없이 싫어하는 것 같아서 슬퍼.,1
171,집에서만 지내 많이 씁쓸하시겠어요.,매일 집에만 있다 보니 무기력하고 점점 우울증이 심해져. 어떻게 해야 할까?,1
172,친구분의 갑작스러운 죽음으로 당혹 스러우시군요.,나도 언제 어떻게 갑자기 죽을지 모르니 지금부터라도 건강관리에 힘써야겠구나.,1
173,많이 힘드시군요. 어떤 면에서 그렇게 힘드실까요?,가족들은 다 잘나가는데 나는 고등학교만 졸업했고 그냥 전업주부라서 가족들 대화에서 자주 소외돼.,1
174,남편 때문에 눈물이 멈추지 않으시군요. 더 자세히 알려주시겠어요?,남편이 항암치료를 견디면서 소리치면 너무 슬퍼서 나도 모르게 눈물이 나오게 되는 거 같아.,1
175,수험생 딸 아침을 제대로 못 챙겨서 많이 미안하시군요.,엄마가 피곤하다는 이유로 아침을 못 챙겨주니 너무 미안해.,1
176,시험을 잘 봤는데 상대평가로 순위를 매겨서 속상했겠군요.,너무 속상하고 더 잘하고 싶지 않아.,1
177,어머니께서 결혼을 강요하셔서 많이 힘드시겠어요.,나는 결혼도 출산도 하기 싫어. 내 삶을 뺏기는 거 같단 말이야.,1
