,Q,A,label
54,발표로 시선을 끄는 것 때문에 말을 잘 못 하셨군요.,처음 발표라서 너무 당황하고 긴장했나 봐.,2
55,정년이 보장되는 직장에 다니시네요.,그래서 친구들이 다들 부러워해.,2
56,근사한 음식점에 함께 가지 못해 미안한 마음이군요.,아프기 전에 더 잘해줄 걸.,2
57,이직한 회사가 마음에 드나 보네요. 어떤 점에서 좋은가요?,일하다가 모르는 것이 있으면 선배가 친절하게 알려 줘. 이곳에서는 배워 나갈 수 있다는 생각이 들어.,2
58,아드님의 연애 상담을 해주셨군요. 마음이 흐뭇하셨겠어요.,아들이 엄마한테 연애 상담하는 게 흔한 일은 아니잖아. 그런데 사실 요즘 여자애들은 나도 잘 몰라.,2
59,은퇴했지만 여유가 있어 안심되시는군요.,은퇴하기 전에 열심히 모아두길 잘했어.,2
60,무슨 좋은 일 있으세요? ,응. 얼마 전에 주식을 좀 사놓은 게 있는데. 이번에 많이 올랐어. ,2
61,언니가 고민을 잘 들어줘서 기쁘군요.,나도 언니에게 도움이 되는 동생이 되고 싶어.,2
62,마음이 힘들 수도 있었을 텐데 불안해하지 않아서 다행이에요.,최근에 엄마가 처음으로 화를 내셨어. 공부 좀 하라고 해서 조금 속상하긴 했어.,2
63,다른 아이들과 달리 언제나 울상을 짓는 스스로가 속상했겠어요. 왜 그렇게 생각하나요?,나는 항상 불행하거든. 내 주변에는 불행한 일밖에 일어나지 않아.,2
64,가족이 있는 편안한 집으로 가고 싶겠어요. 가족을 만나면 무엇을 하고 싶으세요?,모두 둘러 앉아 맛있는 저녁식사를 하면서 대화를 할거야.,2
65,급한 업무가 마무리 되었다니 다행이에요. 박 과장이 재촉해서 힘들었겠어요.,박 과장님이 재촉할 때 마다 너무 숨이 막혔는데 이제 살 것 같아.,2
66,담임 선생님께서 도움을 많이 주셨군요. 감사한 마음을 어떻게 표현하면 좋을까요?,글쎄. 어떻게 전해야 할지 몰라서 정말 고민이야.,2
67,따님이 용돈을 올려줘서 기분이 좋으시겠어요.,우리 딸은 어려울 때마다 도와주고 너무 고마워.,2
68,정 씨가 괴롭히셔서 괴로우시군요. 왜 질투하면서 괴롭히는 건가요?,정 씨는 내가 몸 건강하고 자녀들 다 대학 보내서 질투하는 거야.,2
69,마음이 편안해지셨다니 다행이네요.,결혼 전에는 좀 불안한 마음도 있었거든.,2
70,건강하게 술을 즐길 수 있으니 기쁘시겠어요.,그래도 언젠가는 술도 끊어야 되는 나이가 오겠지.,2
71,딸이랑 즐겁게 다녀오셨나 봐요. ,무거운 짐도 다 들어 주고 계산도 빨라서 편했어.,2
72,짝사랑해오던 사람에게 고백을 받아 기분이 좋았겠군요.,오늘 데이트를 하기로 했어. 내가 그동안 꿈꿔왔던 데이트!,2
73,룸메이트 덕분에 알바를 쉽게 구해서 기쁘겠어요.,룸메이트에게 너무 고마워. 고마움을 전하고 싶어.,2
74,노후대비해서 좋은 일이 생겼군요.,혹시나 하는 마음도 있었는데 수익이 많이 날 것 같아.,2
75,아내 분의 건강에 큰 문제가 없다니 정말 다행이네요.,오늘 기쁜 날이니 아내에게 무언가를 해주고 싶어.,2
76,동생이 자랑스러우시군요. 행복하시겠어요.,내 동생은 회사에 가도 모두에게 사랑받을 거야.,2
77,관절염이 금방 치료가 된다고 해서 기쁘시군요.,얼른 나아서 농사 마무리를 열심히 해야겠다. 너무 다행이야.,2
78,무엇이 위로받는 느낌이었나요?,같은 병을 가진 사람들끼리 어떻게 해야 효과를 받는지 이야기하니 좋은 것 같아.,2
79,따님이 오랜만에 집에 와서 잘 지내는 걸 보고 기분이 좋으시겠어요.,응. 딸은 평소에도 잘 먹는다고는 하는데 그래도 혼자선 못 먹는 것들이 많잖아.,2
80,상사에게 꾸지람을 들었을 때 박 주임이 위로를 해주었군요. 기쁘시겠어요.,박 주임 덕분에 기분이 정말 좋아졌어. 나도 박 주임처럼 누군가가 힘들 때 위로해줄 거야.,2
81,남편분이 육아를 열심히 해 주어 고마우시군요.,내가 힘들지 않게 해 주고 싶다고 하더라고.,2
82,아내 분을 위한 보양식을 만드셨군요! 아내 분이 좋아하실 거예요.,아내 입맛에 안 맞을까 봐. 걱정이 되지만 아내는 회복을 할 거야.,2
83,중학교 동창을 오랜만에 만난다니 설레고 기대되시겠어요!,친구들이랑 오랜만에 만나는데 어색하지 않았으면 좋겠어.,2
84,기분 좋았겠네요. 건강관리 비결이 있으신가요?,꾸준히 산책해서 살을 뺀 게 효용이 있나봐.,2
85,잘 화해하셨다니 다행이에요. 어떻게 화해하셨나요?,친구들과 오해가 생겨서 사이가 안 좋았는데 담임선생님께서 도와주셔서 감사하게도 오해가 풀렸어.,2
86,남편 분이 죽기 전에 소망을 이뤄서 다행이라 생각하시는 군요.,살아서도 아주 예뻐하던 손자들인데 죽기전에 손자들의 모습을 보고가서 안도감이 드네.,2
87,선생님 덕분에 친구들과 사이가 다시 좋아지셨군요. 선생님께서 어떻게 도와주셨나요?,내가 친구들과 대화할 기회를 만들어주셨어.,2
88,병원에서 칭찬을 들어 신이 나셨군요.,내 나이 여든에 이런 소리는 처음 듣는 것 같아. 몸 관리를 잘했나 봐. 뿌듯해.,2
89,그렇다니 정말 다행이군요. 마음이 놓이겠어요.,관절염 때문에 조금 걱정이었는데 훨씬 마음이 나아졌어.,2
90,김 노인이 치료에 도움이 되는 활동을 소개시켜줘서 감사함을 느끼셨군요.,몸이 안 좋아지니까 성격도 예민해졌는데 미술치료를 하면서 마음에 안정이 오더라고.,2
91,남자친구가 프러포즈를 하셨군요.,응. 어제 집에 들어가는 길에 꽃다발을 들이밀고 반지를 주는 거야.,2
92,사람을 만나면서 마음의 위안을 얻는 모습이네요.,나를 싫어한다 해도 다 받아줄 거야. 나의 참모습을 알면 달라질 거라 믿어.,2
93,프로젝트 직원들이 믿음직해서 문제가 안생길 것 같아 기분이 좋으시군요?,지금과 같이 팀원들과 문제없이 프로젝트 준비가 잘 되길 바래.,2
94,학업이 오르는 것만큼 뿌듯한 일은 없는 것 같아요.,맞아. 그래서 어머니도 기뻐했어.,2
95,은퇴하셔서 일상이 무료하시군요. 무료함을 달래 일이 없으실까요?,새로운 것을 배우면 어떨까?,2
96,남편의 은퇴로 남편에 대한 감사한 마음이 생기셨군요. 은퇴 후 계획을 세우셨나요?,일단 남편을 편안하게 쉬게 하고 싶어.,2
97,기쁘시겠어요. 그걸로 무엇을 할 건가요?,애들 맛있는 거 사줘야지.,2
98,정말 여유가 느껴지네요. 산책하면서 대화도 많이 하시나 봐요?,그래. 애들 얘기부터 앞으로 어떤 집에 살지 그런 얘기를 하는 게 좋아.,2
99,허리 아픈 것으로 비가 오려는 걸 알 수 있나 보군요.,일기예보보다 내 허리가 더 정확하다니까. 맨날 자세 똑바로 하라고 할 때 말 들을걸.,2
100,가족에 대한 신뢰가 두터우시군요.,나에게 무슨 일이 생기면 바로 도와주려고 하고 해결해 줘. 너무 든든해.,2
101,상사 분이 실적부진의 책임으로 퇴사하게 되었군요.,그동안 직원들이 얼마나 힘들었는지 몰라. 다음 번 상사는 좋은 사람이어야 할 텐데.,2
102,그렇겠어요. 요즘은 은퇴 시기가 점점 빨라져서 재테크 등에 신경을 많이 쓰더라고요.,아내가 내가 모르게 적금을 몇 개 들어서 은퇴 후에 쓸 돈을 저축했더군.,2
103,많이 기쁘시겠어요. 친구가 평상시에도 이렇게 선물 많이 하는 편인가요?,저번에는 외식 상품권 선물해 줬어. 내가 진짜 친구 복 하나는 제대로 인 것 같아.,2
104,친구분에게 상담을 받으셨군요. 상담은 잘 받으셨어요?,응. 역시 친한 친구에게 상담을 받으니 편하고 좋았어.,2
105,일 등급을 확신하신다니 축하드려요.,응. 이번엔 밤새워서 열심히 공부했거든.,2
106,하고 싶은 일을 찾아서 편안이시군요. 어떤 일을 하고 싶으신가요?,나는 간호사가 되고 싶어. 오늘 간호사라는 직업에 대한 영상을 봤거든.,2
107,은퇴 후에도 생활비를 보장해 줄 수 있는 시스템을 만들어내서 기쁘시군요.,만들 때는 과연 내가 해낼 수 있을까 걱정도 했는데 나를 믿고 여기까지 온 거지. 다행이야.,2
108,일이 많이 힘들었지만 그 성과가 좋아서 만족스러우시군요. 많이 받은 급여로 무엇을 하실 계획이신가요?,가족들을 위해서 선물을 하나씩 사려고 해.,2
109,친구한테 진심으로 사과하고 친구가 웃으며 받아줬군요.,너무 고마워서 내가 이 친구를 위해 뭘 해줄 수 있을지 고민이야. 밥을 사줘야 할까?,2
110,대단한 요리 실력을 가지셨군요!,그래서 회사를 그만두고 한 번 가게를 차려 볼 지 고민이야.,2
111,아내분의 생일을 맞아 식당을 예약하셨군요.,선물을 안 샀네. 꽃다발이라도 준비해야겠어.,2
112,남편 분이 아프신데 자식들이 냉정해서 마음이 편치 않으시겠어요.,지들 키울 때 공을 얼마나 들였게. 애들 키운다고 밤새 일만 하던 양반이 병에 걸렸으니.,2
113,남편분이 든든하신가 봐요. 특별히 어떤 면에서 남편을 믿고 의지하시는지 여쭤봐도 될까요?,남편과 나는 취미도 같고 대화도 잘 되는 편이라 서로 신뢰하는 부분이 많은 것 같아. 그래서 든든하지.,2
114,점보러 갔는데 친한 친구가 전생에도 친한 친구라 해서 기분이 좋으셨겠어요.,점을 봐주시는 분이 나는 친구 덕분에 돈이 들어오고 친구는 내 도움에 복이 들어온대.,2
115,어떤 의미인지 자세히 알 수 있을까요?,나는 인맥이 넓어. 뭐든지 다 해결할 수 있지.,2
116,가해자들 때문에 학폭위가 열렸군요.,참지 않고 가해자들의 만행을 선생님께 말씀드렸어. 학폭위가 열려서 다행이야.,2
117,질환 때문에 우울했던 마음이 인터넷을 통한 만남 덕분에 위로되었군요. 좀 더 말씀해 주시겠어요?,참 신기하고 새롭네. 이렇게 사람을 만나니 반갑기도 하고.,2
118,프로그램을 익숙하게 사용해서 문서작성에 여유가 생겨 기쁘시겠어요.,그런데 익숙한 프로그램만 사용하다 다른 프로그램을 사용 안하는 버릇이 생기진 않겠지?,2
119,친구를 정말 신뢰하고 계시는군요.,함께 한 세월이 오래됐고 나도 반려견을 키우니까 나를 믿는 것 같아.,2
120,갑자기 그렇게 생각하게 된 이유가 있나요?,친구들은 다 결혼하고 빨리 아이를 낳아서 애들도 벌써 다 초등학교 보낼 정도로 컸어. 편해 보여.,2
121,언니만 옷을 사줘서 속상하시겠어요.,언니는 혼자 돈 벌 수 있는 나이인데 나한테 사줘야 한다고 생각해.,2
122,친구와 이야기하는 시간을 소중하고 감사하게 여기고 있군요.,평화로운 지금 이 시간이 매우 좋아. 나에게 이런 친구가 있음에 감사해서 친구에게 고마워.,2
123,이사한 집 주변 이웃들이 반갑게 대해줘서 안도감을 느끼셨군요. ,응 맞아. 앞으로 맛있는 것도 같이 먹으러 다니고 더 친해지고 싶어.,2
124,최종관문만 남겨두고 느낌이 좋으시군요.,그동안 이 기업에 취직하려고 무지 노력했거든. 이제 조금은 긴장을 풀고 싶어.,2
125,축하드려요! 정말 기분 좋으시겠어요. 왜 그 회사에 가고 싶으셨는지 여쭤봐도 되나요?,예전부터 원하던 직무였거든. 그런데 합격해서 엄청나게 기분 좋아!,2
126,취업 준비가 길어져서 힘드시겠어요. 그렇지만 시기적으로 잠시 주춤하는 때가 아닐까요?,정말 그럴까? 그렇게 말해줘서 고마워. 그런 말을 들으니 안심도 되고 마음도 한결 편안해진다. 다시 취업 준비 열심히 해야지!,2
127,발송 취소를 하기 전까지 많이 걱정됐겠어요.,급하게 메일을 보내서 그런 것 같아. 동료가 실수를 하는 바람에 그거를 도와주느라 바빴거든.,2
128,가족의 건강을 책임지고 있으셔서 기분이 좋으시겠어요.,응. 매일 아침 일찍 일어나서 건강한 식단을 준비하고 있어.,2
129,가족이 화목해서 기분이 어떠신가요?,감사하고 기쁘지. 서로에게 무슨 일이 닥쳐도 같이 힘이 되어 줄거라고 믿어.,2
130,좋은 결과를 얻어 기쁘시겠어요. 회포는 어떻게 푸실 생각인가요?,동료들과 회식이라도 할까 싶어. 그동안 고생한 거 다 풀 거야.,2
131,그동안 고생했는데 금상 수상까지 하셔서 정말 기쁘시겠어요.,근데 친구들이 없었다면 못 했을 거야. 대회장에서 처음부터 끝까지 응원해 줘서 너무 큰 힘이 됐어.,2
132,취미 생활을 하면서 기쁘시겠어요.,남편이랑 같이 할 취미도 찾고 싶어.,2
133,어려운 현실이 계속되고 있는데 참 힘들겠어요. 이를 극복하기 위해 어떤 활동을 하고 계시는가요?,퇴근하고 가벼운 맨손체조와 유쾌한 책을 읽고 있어.,2
134,마음이 전해지지 않아서 속상하시겠어요. 남편분께 어떻게 전해야 할까요?,남편이 일하러 갈 때 도시락을 싸줘야겠어.,2
135,그렇게 생각하게 된 계기가 있나요?,올해 우리 부서에서 획기적인 아이디어를 내서 회사 전체 매출이 십 퍼센트 정도 올랐거든.,2
136,아내가 퇴원을 하셔서 기쁘시겠어요.,아내가 건강해져서 기뻐. 오랜만에 가족이 모여 사진을 찍으니 소중한 추억 하나가 생겨서 좋아.,2
137,들어가고 싶었던 회사에 취업해서 기쁘시군요. 축하드려요.,스터디 친구들과 함께 공부한 면접 족보가 많은 도움이 된 것 같아. 친구들에게 정말 감사해.,2
138,친구가 말을 걸고 밥을 같이 먹자고 하셨군요.,내가 나쁜 사람이 아니라는 것을 알아준 것 같아서 기분이 좋아.,2
139,오래 준비한 신혼집인데 장모님의 부정적인 반응이 아쉽겠어요.,방 크기가 작고 아파트가 오래됐대. 아니 이 집을 얻으려고 예비 신부와 내가 얼마나 노력했는데. 그리고 돈도 다 내가 동원한 것이고.,2
140,직장에서 고마운 일을 겪으셨군요. 어떤 고마운 일을 겪으셨나요?,사장님이 지시한 일이 있는데 내가 일이 많이 있어서 그 일들을 시간 내에 하지 못하는 상황에서 동료가 자진해서 도와주겠다고 했고 도움을 받았어.,2
141,아내 분은 절대 바람을 피우시지 않을 거라 확신하시는군요.,나도 아내에게 이런 확신을 주고 싶어.,2
142,어떤 일로 기분이 좋으셨나요?,월급을 아주 많이 받았어.,2
143,어머니가 가족여행을 가게 되서 기뻐하고 계시는군요. 나는 어떤 감정이 들까요?,엄마의 즐거운 모습을 보니 나도 설레고 기분이 좋네.,2
144,중학교 때 친구가 편하시군요.,그 친구랑 있을 땐 걱정거리도 사라지고 마음이 편해져.,2
145,딸에게 남자친구가 생겼군요. 아이는 몇 살인가요?,고등학생이야. 참 예쁠 나이지.,2
146,새로운 친구를 만나셔서 정말 다행이에요. 앞으로 친구와 어떤 일을 하고 싶으신가요?,수업도 같이 듣고 방과 후에 밥도 같이 먹고 싶어.,2
147,이번에 입사하신 대리님이 마음에 드시는 군요.,오늘도 회사 회의에서 발표를 하는데 매우 자신감 있던 태도가 보기 좋았어.,2
148,딸이 취업해서 매우 기쁘셨군요. 특별히 그렇게 기쁜 이유가 있으신가요? ,취업 공부하는 딸을 위해 이 년을 도시락을 싸 줬거든. 그 고생을 싹 잊는 것 같아.,2
149,신랑이 한심하게 본다고 느끼셨군요.,그런데 나도 이제껏 아등바등 사느라고 힘들었어. 내가 하고 싶은 일은 해보지도 못하고 희생했는데 나를 그렇게 쳐다보니 어이없더라.,2
150,어떤 신나는 일이 있는지 자세히 들어볼까요?,재정 상황이 좋아져서 만성질환 치료를 계속할 수 있을 것 같아.,2
151,좋은 동기 분 덕에 성공을 했다니 정말 기쁘겠어요.,응. 내가 힘들 때 옆에서 위로해 주고 같이 있어 주던 아주 고마운 동기라서 너무 고맙고 기뻐.,2
152,이제부터 텃밭을 가꾸며 시골에서 생활할 예정이시군요.,텃밭에는 어떤 것을 아내에게 기르는 게 도움이 될까?,2
153,감사한 일이지만 출산 전 마음이 복잡한 부분도 있으신가 봐요.,응. 정말 좋긴 한데. 앞으로 잘 키울 수 있을까 걱정도 돼. 그래도 지금은 감사한 기분이 제일 커.,2
154,무슨 이야기였는데요? ,다들 주식투자로 노후준비를 꽤 했더라고. 그동안 말을 안 해서 몰랐는데 친한 친구들끼리 정보 공유를 하면서.,2
155,비 오는 날 남편분께서 데리러 와 주셨군요? 정말 부럽습니다.,눈 오는 날에는 미끄러질 수 있다고 데리러 오고 날씨가 좋으면 기분이 좋아서 데리러 왔다고 해.,2
156,역시 건강이 최고죠. 건강을 잘 챙기신 게 대단하다 느껴져요.,그래도 나이는 못 속이는 법이지.,2
157,늙었다고 무시하고 멸시하는 시선에 화가 많이 나셨군요. ,나는 나이가 들수록 오히려 에너지와 아이디어가 많아진다고 생각해. 지혜가 생기는 거지.,2
158,산악 동호회 회원들이 마음에 드셨군요?,나이대도 나랑 유사하게 노인들로 구성되어 있어서 오히려 더 편한 거 같아.,2
159,외부 업무를 하다 곧장 집으로 퇴근하셨군요.,지금은 기분은 좋은데 내일 다시 회사에 들고 가야 할 짐이 많아 벌써 걱정이야.,2
160,전에 다니던 회사라서 친숙한 게 기분이 좋으시군요.,전에 있던 팀장이 나가고 내가 그 자리를 채우다 보니 그래도 조금은 부담이 되네.,2
161,생활기록부를 보고 감동 받으셨군요. 특히 어떤 점이 감동적이었나요?,감사하게도 담임선생님이 나에 대해서 꼼꼼하게 적어 주셨더라고.,2
162,나의 재정 상황에 대한 신뢰가 있으시군요.,꾸준히 저축해왔어.,2
163,프러포즈를 받으셨군요.,드디어 받아서 너무 기뻐!,2
164,수지가 좋은 사람인가 봐요.,수지는 좋은 사람이고 계속 내게 관심 가져줬음 좋겠어.,2
165,아내를 위한 선물을 준비하는 시간을 소중하게 생각하시는군요.,선물을 받고 기뻐하는 아내를 떠올리면 내가 더 행복해. 아내를 더 행복하게 해주고 싶어.,2
166,완쾌하셨다니 그분께도 다행이고 당신도 기쁘시겠어요.,나야 당연히 좋지. 친구가 새로 한 명 더 생긴 것만 같아.,2
167,쫓기듯 취업하는 바쁜 시기에 여유가 생겨서 다행이에요!,응. 부모님 덕분에 바쁘게 준비하지 않아도 돼서 한결 부담을 덜었어.,2
168,목돈이 생겨 기분이 좋으시군요.,아들 때문에 생긴 돈이니 아들 선물이나 사야겠어.,2
169,한 업무를 오랫동안 해서 편안한 기분을 느끼시는군요.,큰 욕심도 없고 내려놓고 다니고 있어.,2
170,정말 기쁜 일이에요.,많이 가진 사람이 나누기가 쉽지 않은데 내 주위에는 그런 사람이 많아서 좋았어! 이제는 나도 어려운 사람에게 나누고 봉사하면서 살아야겠어.,2
171,좋아하는 과목 시험에서 백 점을 받다니 기분이 어떠세요?,너무 좋아. 부모님께서 잘 했다며 용돈을 주셨어.,2
172,팀장님 덕분에 어려운 일을 해결하셨군요.,팀장님은 업무적인 부분에서는 정말 완벽하신 것 같아.,2
173,내가 일등을 했군요. 좀 더 자세히 설명해주실 수 있을까요?,이번 사내 체육대회에서 일등을 하게 되었다니까.,2
174,축하합니다. 어디서 소개받으셨나요?,하지만 양가 부모님들이 잘 도와주셔서 잘 적응하고 있어.,2
175,지금도 충분히 몸 관리를 하시지만 다른 분과 비교가 되어 아쉬우시군요.,응. 나보다 시간이 더 많아서 몸 관리를 잘한 것 같아.,2
176,마음에 드는 직장에 들어갔다고 하시니 기쁘시겠어요.,내가 원하는 직장에 들어갔으니 노력해서 최고가 되고 싶어.,2
177,자녀분들이 아프지 않고 건강하게 잘 자라주어 좋으시겠어요.,건강이 제일 중요하다고 생각하는데 잔병치레 한 번 없던 아이들에게 고마워.,2
178,남자친구의 선물에 기분이 좋아 보이시는군요.,그 가방 예전에 내가 갖고 싶다고 한 건데 기억하고 사줬어.,2
179,부모님께서 반에 햄버거를 돌리셨군요. ,반 친구들도 다 맛있게 먹었어. 부모님께 감사하더라.,2
180,보험비가 생각했던 것과 달라 혼란스러우시군요.,하지만 난 이 보험이 꼭 필요해.,2
181,정말 축하 드려요! 고생 많으셨어요.,이제는 편하게 걸을 수 있고 앉을 때도 편한 것 같아.,2
